,locus17,locus11,locus12,locus2,locus4,locus1,locus14,locus8,locus29,locus22,locus25,locus30,locus20
1,171/171,218/225,291/291,327/327,312/312,318/318,325/339,454/464,124/124,131/131,228/232,251/251,325/330
2,171/171,218/225,291/291,327/327,312/312,318/318,325/339,454/464,124/124,131/131,228/232,254/254,325/330
3,171/171,218/225,291/291,327/327,312/312,318/318,325/339,454/464,124/124,131/131,228/232,254/254,325/330
4,171/171,218/225,291/291,327/327,312/312,318/318,325/339,454/464,124/124,131/131,228/232,254/254,325/330
5,171/171,218/225,291/291,327/327,312/312,318/318,325/339,454/464,124/124,131/131,228/232,254/254,325/330
6,171/171,218/225,291/291,327/327,312/312,318/318,325/339,454/464,124/124,131/131,228/232,254/254,325/330
7,171/171,218/225,291/291,327/327,312/312,318/318,325/339,454/464,124/124,131/131,228/232,254/254,325/330
8,171/171,218/225,291/291,327/327,312/312,318/318,325/339,454/464,124/124,131/131,228/232,254/254,325/330
